"Keyword","SERP Position","Avg. Search Volume (Last 12 months)","Estimated Visits","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025","Search Volume 12/2025"
"agencia de diseño web barcelona",1,140,42,"Spain","3.68",25,12,-26,"HOMEPAGES","commercial, transactional","Missing words in title","","","","","","","","","","","","",10,10,10,20,10,10,10,10,10,50,10,10,"","","","","","","","","","","","","","","","","","","","","",10,20,40,10,30,20,30,10,10,40,20,10,10,10,20,10,20,10,10,10,10,20,10,10,10,10,10,10,10,20,20,20,20,20,20,30,10,20,20,10,20,10,30,10,20,10,20,10,10,30,10,10,20,20,50,90,50,90,90,70,70,70,90,90,90,70,70,90,90,50,70,50,110,90,260,210,210,140,50,50,20,590,110,30,30
"agencia diseño web barcelona",1,480,145,"Spain","3.98",17,28,-18,"HOMEPAGES","commercial","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,70,90,110,110,140,110,140,90,70,90,90,70,70,70,70,70,40,50,70,70,70,90,140,110,90,140,170,140,110,170,210,170,140,110,170,210,210,260,260,210,260,390,320,480,480,720,720,720,480,110,140,170,1300,390,260,320
"agencia web barcelona",1,390,118,"Spain","2.69",31,25,-8,"HOMEPAGES","","Missing words in title","People Also Ask","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,110,90,90,90,140,90,110,90,70,70,110,70,70,50,40,70,70,50,70,50,50,50,70,50,50,50,50,90,90,70,90,90,70,90,110,210,110,140,140,110,140,170,140,140,140,110,110,110,210,210,880,720,720,590,320,140,170,70,1000,210,110,170
"agencia wordpress barcelona",1,110,33,"Spain","3.97",17,12,-40,"HOMEPAGES, LISTICLES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,10,10,10,10,10,,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,20,10,10,50,30,30,30,50,50,30,30,30,40,40,50,50,50,40,30,40,70,90,210,140,170,210,90,40,40,20,320,70,30,20
"agencias web barcelona",1,390,118,"Spain","2.69",31,,-8,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,0,10,10,10,10,10,10,140,170,140,140,140,110,110,110,210,210,880,720,720,590,320,140,170,70,1000,210,110,170
"crawling in seo",1,110,33,"Spain","",11,,-68,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,30,40,70,70,90,70,50,70,50,70,50,50,50,40,40,70,50,70,70,70,70,70,70,70,70,30,70,90,90,50,90,90,70,70,90,90,50,40,70,70,90,140,90,90,110,70,90,110,,,,,,,,,,,,,,,,,260,140,170,170,210,170,140,90,70,50,210,90,50,50
"crawling seo",1,110,33,"Spain","",11,,-74,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,40,70,90,70,90,90,90,110,90,110,90,90,40,90,110,140,70,110,110,110,90,140,90,70,70,90,110,110,170,110,110,140,110,110,140,110,140,170,170,260,140,170,140,140,140,140,140,140,140,210,320,260,140,170,170,210,170,140,90,70,50,210,90,50,50
"creacion pagina web barcelona",1,170,51,"Spain","",43,18,-71,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,70,50,50,50,50,10,10,20,40,40,20,10,10,10,10,10,10,20,10,10,50,10,30,10,20,10,30,20,70,90,70,70,50,70,90,70,50,20,40,30,10,20,20,30,10,30,20,30,20,30,30,50,40,90,90,110,90,110,70,110,90,90,110,90,70,90,90,110,90,110,170,260,320,320,210,110,70,70,590,50,30,10
"creacion paginas web barcelona",1,170,51,"Spain","",43,49,-71,"","","","","","","","","20","10","30","40","20","30","40",50,50,20,30,40,30,20,50,20,30,30,20,"30","20","10","20","20","50","30","10","20","10","10","30","10","10","10","10","10","20","20","10","20",10,10,40,70,50,50,50,50,10,10,20,40,40,20,10,10,10,10,10,10,20,10,10,50,10,30,10,20,10,30,20,70,90,70,70,50,70,90,70,50,20,40,30,10,20,20,30,10,30,20,30,20,30,30,50,40,90,90,110,90,110,70,110,90,90,110,90,70,90,90,110,90,110,170,260,320,320,210,110,70,70,590,50,30,10
"creación páginas web barcelona",1,170,51,"Spain","",43,,-71,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,110,90,70,90,90,110,90,110,170,260,320,320,210,110,70,70,590,50,30,10
